film,track_name,artist_x,url,directory,filename,titles,name,artist_y,URL,midi_title
almost famous,Wishing Well,Free,https://open.spotify.com/track/206MIMLOL9OUdySdSUSlbC,data\midis\Big_Data_Set\T\T,Terrence_Trent_Darby_Wishing_Well.mid,terrence trent darby wishing well,Wishing Well,Terence Trent D'Arby,https://open.spotify.com/track/2bvzxeD1hPWEYotw40Euq9,terrence trent darby wishing well
almost famous,My Cherie Amour,Stevie Wonder,https://open.spotify.com/track/7njZh7zfFuSHCufWu6OzID,data\midis\Big_Data_Set\M\M,My-Cherie-Amour-1.mid,my cherie amour ,My Cherie Amour,Stevie Wonder,https://open.spotify.com/track/5ZoDwIP1ntHwciLjydJ8X2,my cherie amour 
almost famous,My Cherie Amour,Stevie Wonder,https://open.spotify.com/track/7njZh7zfFuSHCufWu6OzID,data\midis\Big_Data_Set\M\M,My-Cherie-Amour-1.mid,my cherie amour ,My Cherie Amour,Stevie Wonder,https://open.spotify.com/track/5ZoDwIP1ntHwciLjydJ8X2,my cherie amour 
almost famous,My Cherie Amour,Stevie Wonder,https://open.spotify.com/track/7njZh7zfFuSHCufWu6OzID,data\midis\Big_Data_Set\M\M,My-Cherie-Amour-1.mid,my cherie amour ,My Cherie Amour,Stevie Wonder,https://open.spotify.com/track/5ZoDwIP1ntHwciLjydJ8X2,my cherie amour 
almost famous,My Cherie Amour,Stevie Wonder,https://open.spotify.com/track/7njZh7zfFuSHCufWu6OzID,data\midis\Big_Data_Set\M\M,My-Cherie-Amour-2.mid,my cherie amour ,My Cherie Amour,Stevie Wonder,https://open.spotify.com/track/5ZoDwIP1ntHwciLjydJ8X2,my cherie amour 
almost famous,My Cherie Amour,Stevie Wonder,https://open.spotify.com/track/7njZh7zfFuSHCufWu6OzID,data\midis\Big_Data_Set\M\M,My-Cherie-Amour-2.mid,my cherie amour ,My Cherie Amour,Stevie Wonder,https://open.spotify.com/track/5ZoDwIP1ntHwciLjydJ8X2,my cherie amour 
almost famous,My Cherie Amour,Stevie Wonder,https://open.spotify.com/track/7njZh7zfFuSHCufWu6OzID,data\midis\Big_Data_Set\M\M,My-Cherie-Amour-2.mid,my cherie amour ,My Cherie Amour,Stevie Wonder,https://open.spotify.com/track/5ZoDwIP1ntHwciLjydJ8X2,my cherie amour 
almost famous,My Cherie Amour,Stevie Wonder,https://open.spotify.com/track/7njZh7zfFuSHCufWu6OzID,data\midis\Big_Data_Set\M\M,My-Cherie-Amour-3.mid,my cherie amour ,My Cherie Amour,Stevie Wonder,https://open.spotify.com/track/5ZoDwIP1ntHwciLjydJ8X2,my cherie amour 
almost famous,My Cherie Amour,Stevie Wonder,https://open.spotify.com/track/7njZh7zfFuSHCufWu6OzID,data\midis\Big_Data_Set\M\M,My-Cherie-Amour-3.mid,my cherie amour ,My Cherie Amour,Stevie Wonder,https://open.spotify.com/track/5ZoDwIP1ntHwciLjydJ8X2,my cherie amour 
almost famous,My Cherie Amour,Stevie Wonder,https://open.spotify.com/track/7njZh7zfFuSHCufWu6OzID,data\midis\Big_Data_Set\M\M,My-Cherie-Amour-3.mid,my cherie amour ,My Cherie Amour,Stevie Wonder,https://open.spotify.com/track/5ZoDwIP1ntHwciLjydJ8X2,my cherie amour 
almost famous,My Cherie Amour,Stevie Wonder,https://open.spotify.com/track/7njZh7zfFuSHCufWu6OzID,data\midis\Big_Data_Set\S\S,Stevie_Wonder_-_My_Cherie_Amour.mid,stevie wonder my cherie amour,My Cherie Amour,Stevie Wonder,https://open.spotify.com/track/5ZoDwIP1ntHwciLjydJ8X2,stevie wonder my cherie amour
almost famous,The Rain Song - 2012 Remaster,Led Zeppelin,https://open.spotify.com/track/3JLrri1xSCui3bzITDJbkk,data\midis\Big_Data_Set\L\L,Led Zeppelin - The Rain Song.mid,led zeppelin the rain song,The Rain Song - 2012 Remaster,Led Zeppelin,https://open.spotify.com/track/3JLrri1xSCui3bzITDJbkk,led zeppelin the rain song
almost famous,The Rain Song - 2012 Remaster,Led Zeppelin,https://open.spotify.com/track/3JLrri1xSCui3bzITDJbkk,data\midis\Big_Data_Set\L\L,LED ZEPPELIN.The rain.mid,led zeppelin the rain,The Rain Song - 2012 Remaster,Led Zeppelin,https://open.spotify.com/track/3JLrri1xSCui3bzITDJbkk,led zeppelin the rain
blues brothers,She Caught the Katy,The Blues Brothers,https://open.spotify.com/track/0Xrk5qLPV212FdgjlttQLM,data\midis\Big_Data_Set\T\T,THE BLUES BR.She caught the katy  K.MID,the blues br she caught the katy k,She Caught the Katy,The Blues Brothers,https://open.spotify.com/track/0Xrk5qLPV212FdgjlttQLM,the blues br she caught the katy k
blues brothers,Jailhouse Rock,The Blues Brothers,https://open.spotify.com/track/4VYwOqIPhjtjucRgU48dv0,data\midis\Big_Data_Set\E\E,Elvis Presley - Jailhouse Rock.mid,elvis presley jailhouse rock,Jailhouse Rock,Elvis Presley,https://open.spotify.com/track/4gphxUgq0JSFv2BCLhNDiE,elvis presley jailhouse rock
blues brothers,Jailhouse Rock,The Blues Brothers,https://open.spotify.com/track/4VYwOqIPhjtjucRgU48dv0,data\midis\Big_Data_Set\J\J,Jailhouse-Rock-1.mid,jailhouse rock ,Jailhouse Rock,Elvis Presley,https://open.spotify.com/track/4gphxUgq0JSFv2BCLhNDiE,jailhouse rock 
blues brothers,Jailhouse Rock,The Blues Brothers,https://open.spotify.com/track/4VYwOqIPhjtjucRgU48dv0,data\midis\Big_Data_Set\J\J,Jailhouse-Rock-1.mid,jailhouse rock ,Jailhouse Rock,Elvis Presley,https://open.spotify.com/track/4gphxUgq0JSFv2BCLhNDiE,jailhouse rock 
blues brothers,Jailhouse Rock,The Blues Brothers,https://open.spotify.com/track/4VYwOqIPhjtjucRgU48dv0,data\midis\Big_Data_Set\J\J,Jailhouse-Rock-1.mid,jailhouse rock ,Jailhouse Rock,Elvis Presley,https://open.spotify.com/track/4gphxUgq0JSFv2BCLhNDiE,jailhouse rock 
blues brothers,Jailhouse Rock,The Blues Brothers,https://open.spotify.com/track/4VYwOqIPhjtjucRgU48dv0,data\midis\Big_Data_Set\J\J,Jailhouse-Rock-1.mid,jailhouse rock ,Jailhouse Rock,Elvis Presley,https://open.spotify.com/track/4gphxUgq0JSFv2BCLhNDiE,jailhouse rock 
blues brothers,Jailhouse Rock,The Blues Brothers,https://open.spotify.com/track/4VYwOqIPhjtjucRgU48dv0,data\midis\Big_Data_Set\J\J,Jailhouse-Rock-2.mid,jailhouse rock ,Jailhouse Rock,Elvis Presley,https://open.spotify.com/track/4gphxUgq0JSFv2BCLhNDiE,jailhouse rock 
blues brothers,Jailhouse Rock,The Blues Brothers,https://open.spotify.com/track/4VYwOqIPhjtjucRgU48dv0,data\midis\Big_Data_Set\J\J,Jailhouse-Rock-2.mid,jailhouse rock ,Jailhouse Rock,Elvis Presley,https://open.spotify.com/track/4gphxUgq0JSFv2BCLhNDiE,jailhouse rock 
blues brothers,Jailhouse Rock,The Blues Brothers,https://open.spotify.com/track/4VYwOqIPhjtjucRgU48dv0,data\midis\Big_Data_Set\J\J,Jailhouse-Rock-2.mid,jailhouse rock ,Jailhouse Rock,Elvis Presley,https://open.spotify.com/track/4gphxUgq0JSFv2BCLhNDiE,jailhouse rock 
blues brothers,Jailhouse Rock,The Blues Brothers,https://open.spotify.com/track/4VYwOqIPhjtjucRgU48dv0,data\midis\Big_Data_Set\J\J,Jailhouse-Rock-2.mid,jailhouse rock ,Jailhouse Rock,Elvis Presley,https://open.spotify.com/track/4gphxUgq0JSFv2BCLhNDiE,jailhouse rock 
blues brothers,Jailhouse Rock,The Blues Brothers,https://open.spotify.com/track/4VYwOqIPhjtjucRgU48dv0,data\midis\Big_Data_Set\J\J,Jailhouse-Rock-3.mid,jailhouse rock ,Jailhouse Rock,Elvis Presley,https://open.spotify.com/track/4gphxUgq0JSFv2BCLhNDiE,jailhouse rock 
blues brothers,Jailhouse Rock,The Blues Brothers,https://open.spotify.com/track/4VYwOqIPhjtjucRgU48dv0,data\midis\Big_Data_Set\J\J,Jailhouse-Rock-3.mid,jailhouse rock ,Jailhouse Rock,Elvis Presley,https://open.spotify.com/track/4gphxUgq0JSFv2BCLhNDiE,jailhouse rock 
blues brothers,Jailhouse Rock,The Blues Brothers,https://open.spotify.com/track/4VYwOqIPhjtjucRgU48dv0,data\midis\Big_Data_Set\J\J,Jailhouse-Rock-3.mid,jailhouse rock ,Jailhouse Rock,Elvis Presley,https://open.spotify.com/track/4gphxUgq0JSFv2BCLhNDiE,jailhouse rock 
blues brothers,Jailhouse Rock,The Blues Brothers,https://open.spotify.com/track/4VYwOqIPhjtjucRgU48dv0,data\midis\Big_Data_Set\J\J,Jailhouse-Rock-3.mid,jailhouse rock ,Jailhouse Rock,Elvis Presley,https://open.spotify.com/track/4gphxUgq0JSFv2BCLhNDiE,jailhouse rock 
blues brothers,Jailhouse Rock,The Blues Brothers,https://open.spotify.com/track/4VYwOqIPhjtjucRgU48dv0,data\midis\Big_Data_Set\J\J,Jailhouse-Rock-4.mid,jailhouse rock ,Jailhouse Rock,Elvis Presley,https://open.spotify.com/track/4gphxUgq0JSFv2BCLhNDiE,jailhouse rock 
blues brothers,Jailhouse Rock,The Blues Brothers,https://open.spotify.com/track/4VYwOqIPhjtjucRgU48dv0,data\midis\Big_Data_Set\J\J,Jailhouse-Rock-4.mid,jailhouse rock ,Jailhouse Rock,Elvis Presley,https://open.spotify.com/track/4gphxUgq0JSFv2BCLhNDiE,jailhouse rock 
blues brothers,Jailhouse Rock,The Blues Brothers,https://open.spotify.com/track/4VYwOqIPhjtjucRgU48dv0,data\midis\Big_Data_Set\J\J,Jailhouse-Rock-4.mid,jailhouse rock ,Jailhouse Rock,Elvis Presley,https://open.spotify.com/track/4gphxUgq0JSFv2BCLhNDiE,jailhouse rock 
blues brothers,Jailhouse Rock,The Blues Brothers,https://open.spotify.com/track/4VYwOqIPhjtjucRgU48dv0,data\midis\Big_Data_Set\J\J,Jailhouse-Rock-4.mid,jailhouse rock ,Jailhouse Rock,Elvis Presley,https://open.spotify.com/track/4gphxUgq0JSFv2BCLhNDiE,jailhouse rock 
blues brothers,Jailhouse Rock,The Blues Brothers,https://open.spotify.com/track/4VYwOqIPhjtjucRgU48dv0,data\midis\Big_Data_Set\J\J,jail_house_rock.mid,jail house rock,Jailhouse Rock,Elvis Presley,https://open.spotify.com/track/4gphxUgq0JSFv2BCLhNDiE,jail house rock
blues brothers,Jailhouse Rock,The Blues Brothers,https://open.spotify.com/track/4VYwOqIPhjtjucRgU48dv0,data\midis\Big_Data_Set\P\P,PRESLEY.Jailhouse rock 2 K.mid,presley jailhouse rock k,Jailhouse Rock,Elvis Presley,https://open.spotify.com/track/0ay5eUvNUhkrFX6QzvGm3P,presley jailhouse rock k
blues brothers,Jailhouse Rock,The Blues Brothers,https://open.spotify.com/track/4VYwOqIPhjtjucRgU48dv0,data\midis\Big_Data_Set\P\P,PRESLEY.Jailhouse rock 2 K.mid,presley jailhouse rock k,Jailhouse Rock,Elvis Presley,https://open.spotify.com/track/0ay5eUvNUhkrFX6QzvGm3P,presley jailhouse rock k
blues brothers,Jailhouse Rock,The Blues Brothers,https://open.spotify.com/track/4VYwOqIPhjtjucRgU48dv0,data\midis\Big_Data_Set\P\P,PRESLEY.Jailhouse rock K.mid,presley jailhouse rock k,Jailhouse Rock,Elvis Presley,https://open.spotify.com/track/0ay5eUvNUhkrFX6QzvGm3P,presley jailhouse rock k
blues brothers,Jailhouse Rock,The Blues Brothers,https://open.spotify.com/track/4VYwOqIPhjtjucRgU48dv0,data\midis\Big_Data_Set\P\P,PRESLEY.Jailhouse rock K.mid,presley jailhouse rock k,Jailhouse Rock,Elvis Presley,https://open.spotify.com/track/0ay5eUvNUhkrFX6QzvGm3P,presley jailhouse rock k
blues brothers,"Hold On, I'm Comin'",Sam & Dave,https://open.spotify.com/track/05sVrpO8zmtycAzEkttoSt,data\midis\Big_Data_Set\S\S,SAM-DAVE.Hold on I'm comin'.mid,sam dave hold on i m comin ,"Hold On, I'm Comin'",Sam & Dave,https://open.spotify.com/track/6PgVDY8GTkxF3GmhVGPzoB,sam dave hold on i m comin 
blues brothers,"Hold On, I'm Comin'",Sam & Dave,https://open.spotify.com/track/05sVrpO8zmtycAzEkttoSt,data\midis\Big_Data_Set\S\S,SAM-DAVE.Hold on! i'm a comin 2.mid,sam dave hold on i m a comin ,"Hold On, I'm Comin'",Sam & Dave,https://open.spotify.com/track/6PgVDY8GTkxF3GmhVGPzoB,sam dave hold on i m a comin 
blues brothers,Peter Gunn Theme,The Blues Brothers,https://open.spotify.com/track/68IH3sYANDxWiaayhtt3oR,data\midis\Big_Data_Set\B\B,BLUES BR.Peter gun theme.mid,blues br peter gun theme,Peter Gunn Theme,The Blues Brothers,https://open.spotify.com/track/68IH3sYANDxWiaayhtt3oR,blues br peter gun theme
blues brothers,Let the Good Times Roll,Louis Jordan,https://open.spotify.com/track/1dKPQL4gHgahgs8FrqAOvv,data\midis\Big_Data_Set\L\L,Let_the_Good_Time_Roll.mid,let the good time roll,Let the Good Times Roll,Ben Rector,https://open.spotify.com/track/43Vdzy4oh64DXtNU53Z0gY,let the good time roll
blues brothers,Let the Good Times Roll,Louis Jordan,https://open.spotify.com/track/1dKPQL4gHgahgs8FrqAOvv,data\midis\Big_Data_Set\T\T,The Cars - Let the Good Time Roll.mid,the cars let the good time roll,Let the Good Times Roll,White Knight Instrumental,https://open.spotify.com/track/5Ays9C2gjPTUgt4P4OzUd8,the cars let the good time roll
blues brothers,Boom Boom,John Lee Hooker,https://open.spotify.com/track/2CU8WUplpBbehlCvSIYmlG,data\midis\Big_Data_Set\J\J,"J.L.HOOKER.Boom,boom,boom K.MID",j l hooker boom boom boom k,Boom Boom,John Lee Hooker,https://open.spotify.com/track/6cIymGBITk3oq5pxVsa1XF,j l hooker boom boom boom k
blues brothers,Boom Boom,John Lee Hooker,https://open.spotify.com/track/2CU8WUplpBbehlCvSIYmlG,data\midis\Big_Data_Set\J\J,John_Lee_Hooker_-_Boom_Boom_Boom.mid,john lee hooker boom boom boom,Boom Boom,John Lee Hooker,https://open.spotify.com/track/2Mr1bGI2E10K7Mt1UJZ6Mw,john lee hooker boom boom boom
blues brothers,Think,The Blues Brothers,https://open.spotify.com/track/6kie23fo40j9gBNWGWg5Dc,data\midis\Big_Data_Set\A\A,Aretha Franklin - Think.mid,aretha franklin think,Think,Aretha Franklin,https://open.spotify.com/track/4yQw7FR9lcvL6RHtegbJBh,aretha franklin think
blues brothers,Your Cheatin' Heart,Patsy Cline,https://open.spotify.com/track/1DWadR94BvNa8Ba7c3VILO,data\midis\Big_Data_Set\Y\Y,Your-Cheatin'-Heart-1.mid,your cheatin heart ,Your Cheatin' Heart,Hank Williams,https://open.spotify.com/track/13Oi7vfd9mrujcEmGAYAPe,your cheatin heart 
blues brothers,Your Cheatin' Heart,Patsy Cline,https://open.spotify.com/track/1DWadR94BvNa8Ba7c3VILO,data\midis\Big_Data_Set\Y\Y,Your-Cheatin'-Heart-1.mid,your cheatin heart ,Your Cheatin' Heart,Hank Williams,https://open.spotify.com/track/13Oi7vfd9mrujcEmGAYAPe,your cheatin heart 
blues brothers,Your Cheatin' Heart,Patsy Cline,https://open.spotify.com/track/1DWadR94BvNa8Ba7c3VILO,data\midis\Big_Data_Set\Y\Y,Your-Cheatin'-Heart-2.mid,your cheatin heart ,Your Cheatin' Heart,Hank Williams,https://open.spotify.com/track/13Oi7vfd9mrujcEmGAYAPe,your cheatin heart 
blues brothers,Your Cheatin' Heart,Patsy Cline,https://open.spotify.com/track/1DWadR94BvNa8Ba7c3VILO,data\midis\Big_Data_Set\Y\Y,Your-Cheatin'-Heart-2.mid,your cheatin heart ,Your Cheatin' Heart,Hank Williams,https://open.spotify.com/track/13Oi7vfd9mrujcEmGAYAPe,your cheatin heart 
blues brothers,Your Cheatin' Heart,Patsy Cline,https://open.spotify.com/track/1DWadR94BvNa8Ba7c3VILO,data\midis\Big_Data_Set\Y\Y,yourcheatinheart.mid,yourcheatinheart,Your Cheatin' Heart,Hank Williams,https://open.spotify.com/track/13Oi7vfd9mrujcEmGAYAPe,yourcheatinheart
blues brothers,Gimme Some Lovin',The Blues Brothers,https://open.spotify.com/track/53p1SzTC0sBH9HAPD8MOOu,data\midis\Big_Data_Set\B\B,BLUES BR.Gimme some lovin.mid,blues br gimme some lovin,Gimme Some Lovin',The Blues Brothers,https://open.spotify.com/track/53p1SzTC0sBH9HAPD8MOOu,blues br gimme some lovin
blues brothers,Theme from Rawhide,The Blues Brothers,https://open.spotify.com/track/4P60VVMdkWcwGMBC7r4Kgp,data\midis\Big_Data_Set\B\B,BLUES BR.Rawhide.mid,blues br rawhide,Theme from Rawhide,The Blues Brothers,https://open.spotify.com/track/4P60VVMdkWcwGMBC7r4Kgp,blues br rawhide
blues brothers,Opening: I Can't Turn You Loose - Live Version,The Blues Brothers,https://open.spotify.com/track/5yGzKkwFTQmVkV6PKSj2Ak,data\midis\Big_Data_Set\T\T,THE BLUES BR.I can't turn you loose.MID,the blues br i can t turn you loose,Opening: I Can't Turn You Loose - Live Version,The Blues Brothers,https://open.spotify.com/track/5yGzKkwFTQmVkV6PKSj2Ak,the blues br i can t turn you loose
blues brothers,Everybody Needs Somebody to Love,The Blues Brothers,https://open.spotify.com/track/1CtKHwDqsH3ctcCCI18N0g,data\midis\Big_Data_Set\B\B,BLUES BR.Everybody needs somebody to love.mid,blues br everybody needs somebody to love,Everybody Needs Somebody to Love,The Blues Brothers,https://open.spotify.com/track/1CtKHwDqsH3ctcCCI18N0g,blues br everybody needs somebody to love
blues brothers,Sweet Home Chicago,The Blues Brothers,https://open.spotify.com/track/1OJO3vsGqwbIQuLPGeY2Sb,data\midis\Big_Data_Set\B\B,BLUES BR.Sweet home Chicago.mid,blues br sweet home chicago,Sweet Home Chicago,The Blues Brothers,https://open.spotify.com/track/5DjnapHOsR30xp0MJaj4u9,blues br sweet home chicago
blues brothers,Sweet Home Chicago,The Blues Brothers,https://open.spotify.com/track/1OJO3vsGqwbIQuLPGeY2Sb,data\midis\Big_Data_Set\S\S,SweetHomeChicago.mid,sweethomechicago,Sweet Home Chicago,The Blues Brothers,https://open.spotify.com/track/5DjnapHOsR30xp0MJaj4u9,sweethomechicago
blues brothers,Sweet Home Chicago,The Blues Brothers,https://open.spotify.com/track/1OJO3vsGqwbIQuLPGeY2Sb,data\midis\Big_Data_Set\S\S,SweetHomeChicago.mid,sweethomechicago,Sweet Home Chicago,The Blues Brothers,https://open.spotify.com/track/5DjnapHOsR30xp0MJaj4u9,sweethomechicago
blues brothers,Sweet Home Chicago,The Blues Brothers,https://open.spotify.com/track/1OJO3vsGqwbIQuLPGeY2Sb,data\midis\Guitar_midkar.com_MIDIRip\MidiStudio\Ballroom,SweetHomeChicago.mid,sweethomechicago,Sweet Home Chicago,The Blues Brothers,https://open.spotify.com/track/5DjnapHOsR30xp0MJaj4u9,sweethomechicago
blues brothers,Sweet Home Chicago,The Blues Brothers,https://open.spotify.com/track/1OJO3vsGqwbIQuLPGeY2Sb,data\midis\Guitar_midkar.com_MIDIRip\MidiStudio\Ballroom,SweetHomeChicago.mid,sweethomechicago,Sweet Home Chicago,The Blues Brothers,https://open.spotify.com/track/5DjnapHOsR30xp0MJaj4u9,sweethomechicago
school of rock,Highway to Hell,AC/DC,https://open.spotify.com/track/2zYzyRzz6pRmhPzyfMEC8s,data\midis\Big_Data_Set\A\A,ACDC_Highway_to_Hell.mid,acdc highway to hell,Highway to Hell,AC/DC,https://open.spotify.com/track/2zYzyRzz6pRmhPzyfMEC8s,acdc highway to hell
school of rock,Highway to Hell,AC/DC,https://open.spotify.com/track/2zYzyRzz6pRmhPzyfMEC8s,data\midis\Big_Data_Set\A\A,ac_dc-highway_to_hell.mid,ac dc highway to hell,Highway to Hell,AC/DC,https://open.spotify.com/track/2zYzyRzz6pRmhPzyfMEC8s,ac dc highway to hell
school of rock,Highway to Hell,AC/DC,https://open.spotify.com/track/2zYzyRzz6pRmhPzyfMEC8s,data\midis\Big_Data_Set\H\H,Highway-To-Hell.mid,highway to hell,Highway to Hell,AC/DC,https://open.spotify.com/track/2zYzyRzz6pRmhPzyfMEC8s,highway to hell
school of rock,Edge of Seventeen,Stevie Nicks,https://open.spotify.com/track/2id8E4WvczfKHB4LHI7Np3,data\midis\Big_Data_Set\S\S,Stevie_Nicks_-_Edge_of_Seventeen.mid,stevie nicks edge of seventeen,Edge of Seventeen,Stevie Nicks,https://open.spotify.com/track/2id8E4WvczfKHB4LHI7Np3,stevie nicks edge of seventeen
school of rock,For Those About to Rock (We Salute You),AC/DC,https://open.spotify.com/track/17lu4tymfnhmcIDlzBbtAb,data\midis\Big_Data_Set\A\A,ACDC_For_Those_About_To_Rock.mid,acdc for those about to rock,For Those About to Rock (We Salute You),AC/DC,https://open.spotify.com/track/17lu4tymfnhmcIDlzBbtAb,acdc for those about to rock
school of rock,For Those About to Rock (We Salute You),AC/DC,https://open.spotify.com/track/17lu4tymfnhmcIDlzBbtAb,data\midis\Big_Data_Set\F\F,forthose_about_to_rock.mid,forthose about to rock,For Those About to Rock (We Salute You),AC/DC,https://open.spotify.com/track/17lu4tymfnhmcIDlzBbtAb,forthose about to rock
school of rock,For Those About to Rock (We Salute You),AC/DC,https://open.spotify.com/track/17lu4tymfnhmcIDlzBbtAb,data\midis\Big_Data_Set\F\F,For_Those_About_To_Rock.MID,for those about to rock,For Those About to Rock (We Salute You),AC/DC,https://open.spotify.com/track/17lu4tymfnhmcIDlzBbtAb,for those about to rock
school of rock,Moonage Daydream - 2012 Remaster,David Bowie,https://open.spotify.com/track/6mib3N4E8PZHAGQ3xy7bho,data\midis\Big_Data_Set\D\D,david_bowie-moonage_daydream.mid,david bowie moonage daydream,Moonage Daydream - 2012 Remaster,David Bowie,https://open.spotify.com/track/6mib3N4E8PZHAGQ3xy7bho,david bowie moonage daydream
school of rock,Touch Me,The Doors,https://open.spotify.com/track/4BVE5tIIpYabZcYCbephNW,data\midis\Big_Data_Set\T\T,The Doors - Touch Me.mid,the doors touch me,Touch Me,The Doors,https://open.spotify.com/track/4BVE5tIIpYabZcYCbephNW,the doors touch me
school of rock,Touch Me,The Doors,https://open.spotify.com/track/4BVE5tIIpYabZcYCbephNW,data\midis\Big_Data_Set\T\T,The Doors - Touch Me.mid,the doors touch me,Touch Me,The Doors,https://open.spotify.com/track/4BVE5tIIpYabZcYCbephNW,the doors touch me
school of rock,Touch Me,The Doors,https://open.spotify.com/track/4BVE5tIIpYabZcYCbephNW,data\midis\Big_Data_Set\T\T,THE DOORS.Touch me.mid,the doors touch me,Touch Me,The Doors,https://open.spotify.com/track/4BVE5tIIpYabZcYCbephNW,the doors touch me
school of rock,Touch Me,The Doors,https://open.spotify.com/track/4BVE5tIIpYabZcYCbephNW,data\midis\Big_Data_Set\T\T,THE DOORS.Touch me.mid,the doors touch me,Touch Me,The Doors,https://open.spotify.com/track/4BVE5tIIpYabZcYCbephNW,the doors touch me
school of rock,Sunshine Of Your Love,Cream,https://open.spotify.com/track/2BcvvHttiZRvguFM4hR398,data\midis\Big_Data_Set\C\C,Cream - Sunshine of Your Love.mid,cream sunshine of your love,Sunshine Of Your Love,Cream,https://open.spotify.com/track/2K2M0TcglCRLLpFOzKeFZA,cream sunshine of your love
school of rock,Sunshine Of Your Love,Cream,https://open.spotify.com/track/2BcvvHttiZRvguFM4hR398,data\midis\Big_Data_Set\S\S,Sunshine-Of-Your-Love-1.mid,sunshine of your love ,Sunshine Of Your Love,Cream,https://open.spotify.com/track/2K2M0TcglCRLLpFOzKeFZA,sunshine of your love 
school of rock,Sunshine Of Your Love,Cream,https://open.spotify.com/track/2BcvvHttiZRvguFM4hR398,data\midis\Big_Data_Set\S\S,Sunshine-Of-Your-Love-1.mid,sunshine of your love ,Sunshine Of Your Love,Cream,https://open.spotify.com/track/2K2M0TcglCRLLpFOzKeFZA,sunshine of your love 
school of rock,Sunshine Of Your Love,Cream,https://open.spotify.com/track/2BcvvHttiZRvguFM4hR398,data\midis\Big_Data_Set\S\S,Sunshine-Of-Your-Love-2.mid,sunshine of your love ,Sunshine Of Your Love,Cream,https://open.spotify.com/track/2K2M0TcglCRLLpFOzKeFZA,sunshine of your love 
school of rock,Sunshine Of Your Love,Cream,https://open.spotify.com/track/2BcvvHttiZRvguFM4hR398,data\midis\Big_Data_Set\S\S,Sunshine-Of-Your-Love-2.mid,sunshine of your love ,Sunshine Of Your Love,Cream,https://open.spotify.com/track/2K2M0TcglCRLLpFOzKeFZA,sunshine of your love 
grease,Blue Moon,Sha Na Na,https://open.spotify.com/track/4rCyJikg4hv1d2Ua5A0io8,data\midis\Big_Data_Set\M\M,Marcels_-_Blue_Moon.mid,marcels blue moon,Blue Moon,The Marcels,https://open.spotify.com/track/75ewj77lCHHLKOlyx5KvGw,marcels blue moon
grease,Blue Moon,Sha Na Na,https://open.spotify.com/track/4rCyJikg4hv1d2Ua5A0io8,data\midis\Guitar_midkar.com_MIDIRip\world,blue_moon_jm2.mid,blue moon jm ,Blue Moon,Jmale,https://open.spotify.com/track/2YbPaf7jdr4h7gS5uXN5ZO,blue moon jm 
grease,Tears on My Pillow,Sha Na Na,https://open.spotify.com/track/5iJV8dFS1XFGHkjJ8sEt5s,data\midis\Big_Data_Set\T\T,Tears-On-My-Pillow-1.mid,tears on my pillow ,Tears on My Pillow,Little Anthony & The Imperials,https://open.spotify.com/track/07ePHsQ0SopWrnCbNjNC2D,tears on my pillow 
grease,Tears on My Pillow,Sha Na Na,https://open.spotify.com/track/5iJV8dFS1XFGHkjJ8sEt5s,data\midis\Big_Data_Set\T\T,Tears-On-My-Pillow-1.mid,tears on my pillow ,Tears on My Pillow,Little Anthony & The Imperials,https://open.spotify.com/track/07ePHsQ0SopWrnCbNjNC2D,tears on my pillow 
grease,Tears on My Pillow,Sha Na Na,https://open.spotify.com/track/5iJV8dFS1XFGHkjJ8sEt5s,data\midis\Big_Data_Set\T\T,Tears-On-My-Pillow-2.mid,tears on my pillow ,Tears on My Pillow,Little Anthony & The Imperials,https://open.spotify.com/track/07ePHsQ0SopWrnCbNjNC2D,tears on my pillow 
grease,Tears on My Pillow,Sha Na Na,https://open.spotify.com/track/5iJV8dFS1XFGHkjJ8sEt5s,data\midis\Big_Data_Set\T\T,Tears-On-My-Pillow-2.mid,tears on my pillow ,Tears on My Pillow,Little Anthony & The Imperials,https://open.spotify.com/track/07ePHsQ0SopWrnCbNjNC2D,tears on my pillow 
dazed and confused,Sweet Emotion,Aerosmith,https://open.spotify.com/track/24NwBd5vZ2CK8VOQVnqdxr,data\midis\Big_Data_Set\A\A,aerosmith-sweet_emotion.mid,aerosmith sweet emotion,Sweet Emotion,Aerosmith,https://open.spotify.com/track/24NwBd5vZ2CK8VOQVnqdxr,aerosmith sweet emotion
dazed and confused,Highway Star,Deep Purple,https://open.spotify.com/track/4gVTozEmzwAUXpwj3jEetX,data\midis\Big_Data_Set\D\D,Deep Purple - Highway Star.mid,deep purple highway star,Highway Star,Deep Purple,https://open.spotify.com/track/4gVTozEmzwAUXpwj3jEetX,deep purple highway star
dazed and confused,School's Out,Alice Cooper,https://open.spotify.com/track/7sYK9AWPY6EAsQ9SMmUTLw,data\midis\Big_Data_Set\A\A,Alice Cooper - School's Out.mid,alice cooper school s out,School's Out,Alice Cooper,https://open.spotify.com/track/5Z8EDau8uNcP1E8JvmfkZe,alice cooper school s out
dazed and confused,Low Rider,War,https://open.spotify.com/track/2fmMPJb5EzZCx8BcNJvVk4,data\midis\Big_Data_Set\W\W,War_-_Low_Rider.mid,war low rider,Low Rider,War,https://open.spotify.com/track/2fmMPJb5EzZCx8BcNJvVk4,war low rider
